miliseconds,steering,throttle
1697213145.0658693,0.2,0.3
1697213145.0739858,0.2,0.3
1697213145.0808814,0.2,0.3
1697213145.0929673,0.2,0.3
1697213145.1026325,0.2,0.3
1697213145.1094623,0.2,0.3
1697213145.118548,0.2,0.3
1697213145.1273053,0.2,0.3
1697213145.1340241,0.2,0.3
1697213145.140471,0.2,0.3
1697213145.1510303,0.2,0.3
1697213145.159978,0.2,0.3
1697213145.1675248,0.2,0.3
1697213145.1743793,0.2,0.3
1697213145.184696,0.2,0.3
1697213145.1928973,0.2,0.3
1697213145.205181,0.2,0.3
1697213145.219974,-0.55,0.3
1697213145.2265823,-0.55,0.3
1697213145.2342033,-0.55,0.3
1697213145.2476907,-0.55,0.3
1697213145.259164,-0.55,0.3
1697213145.2705183,-0.55,0.3
1697213145.28001,-0.55,0.3
1697213145.2875562,-0.55,0.3
1697213145.3007934,-0.55,0.3
1697213145.312687,-0.55,0.3
1697213145.3234181,-0.55,0.3
1697213145.3316782,-0.55,0.3
1697213145.3393693,-0.55,0.3
1697213145.3498328,-0.55,0.3
1697213145.359679,-0.55,0.3
1697213145.3681886,-0.55,0.3
1697213145.377036,-0.55,0.3
1697213145.3838995,-0.55,0.3
1697213145.3902488,-0.55,0.3
1697213145.3968265,-0.55,0.3
1697213145.402673,-0.55,0.3
1697213145.4111352,-0.55,0.3
1697213145.4184184,-0.55,0.3
1697213145.4251144,-0.55,0.3
1697213145.4310586,-0.55,0.3
1697213145.4369247,-0.55,0.3
1697213145.4465318,-0.55,0.3
1697213145.4537547,-0.55,0.3
1697213145.4604406,-0.55,0.3
1697213145.466005,-0.55,0.3
1697213145.473564,-0.55,0.3
1697213145.4823277,-0.55,0.3
1697213145.4908724,-0.55,0.3
1697213145.4981353,-0.55,0.3
1697213145.5038445,-0.55,0.3
1697213145.5104353,-0.55,0.3
1697213145.517048,-0.55,0.3
1697213145.5343904,-0.55,0.3
1697213145.5458937,-0.55,0.3
1697213145.5527582,-0.55,0.3
1697213145.5597992,-0.55,0.3
1697213145.5663493,-0.55,0.3
1697213145.573748,-0.55,0.3
1697213145.5816562,-0.55,0.3
1697213145.5928338,-0.55,0.3
1697213145.6093683,-0.55,0.3
1697213145.6295245,-0.55,0.3
1697213145.6506035,-0.55,0.3
1697213145.6708102,-0.55,0.3
1697213145.6888871,-0.55,0.3
1697213145.6947947,-0.55,0.3
1697213145.7006392,-0.55,0.3
1697213145.7067719,-0.55,0.3
1697213145.713513,-0.55,0.3
1697213145.7199352,-0.55,0.3
1697213145.726196,-0.55,0.3
